Year,Month_Number,Month_Name,Total_Applications,Total_Funded,Total_Received,Avg_Interest_Rate,Avg_DTI,Date,Cumulative_Applications,Cumulative_Funded,Cumulative_Received
2021,1,January,2958,29738975.0,32112217.0,0.11847954699121027,0.13388664638269102,2021-01-01,2958,29738975.0,32112217.0
2021,2,February,2652,26825850.0,29050026.0,0.11922401960784314,0.1349258672699849,2021-02-01,5610,56564825.0,61162243.0
2021,3,March,3137,32556600.0,35087580.0,0.11948320051004144,0.13428581447242588,2021-03-01,8747,89121425.0,96249823.0
2021,4,April,2821,28697975.0,31145546.0,0.11842435306628855,0.13509641970932296,2021-04-01,11568,117819400.0,127395369.0
2021,5,May,3000,31439000.0,33768884.0,0.11999823333333334,0.1340122,2021-05-01,14568,149258400.0,161164253.0
2021,6,June,2871,29427375.0,32068318.0,0.11888989898989899,0.13524817136886103,2021-06-01,17439,178685775.0,193232571.0
2021,7,July,2983,30422075.0,32947238.0,0.11882437143814951,0.1359742876299028,2021-07-01,20422,209107850.0,226179809.0
2021,8,August,3029,31387350.0,34157391.0,0.11862512380323538,0.13503915483657972,2021-08-01,23451,240495200.0,260337200.0
2021,9,September,2844,29663225.0,32327269.0,0.1190581223628692,0.1365191983122363,2021-09-01,26295,270158425.0,292664469.0
2021,10,October,3089,32447975.0,35136877.0,0.11892754936872775,0.13397604402719326,2021-10-01,29384,302606400.0,327801346.0
2021,11,November,2900,29678075.0,32035547.0,0.11897644827586207,0.13566189655172414,2021-11-01,32284,332284475.0,359836893.0
2021,12,December,2990,30660600.0,33320762.0,0.11842491638795988,0.1355941137123746,2021-12-01,35274,362945075.0,393157655.0
